State,$,(,),:,;,=,ad,an,cm,do,dv,el,eq,if,lg,ls,md,ml,ng,nk,nm,np,nt,nu,or,pr,rt,sb,sr,th,un,vd,wh,{,}
71,,,,,,,s57,,,,s60,,,,,,s56,s59,s61,,s53,,,s54,,,,s58,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s92,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s93
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s94,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s95,
76,,,,,r11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,s57,,,,s60,,,,,,s56,s59,s61,,s53,,,s54,,,,s58,,,,,,,
78,,,,,,,s57,,,,s60,,,,,,s56,s59,s61,,s53,,,s54,,,,s58,,,,,,,
79,,,,,,,s57,,,,s60,,,,,,s56,s59,s61,,s53,,,s54,,,,s58,,,,,,,
80,,,,,,,s57,,,,s60,,,,,,s56,s59,s61,,s53,,,s54,,,,s58,,,,,,,
81,,,,,,,s57,,,,s60,,,,,,s56,s59,s61,,s53,,,s54,,,,s58,,,,,,,
82,,,,,,,s57,,,,s60,,,,,,s56,s59,s61,,s53,,,s54,,,,s58,,,,,,,
83,,,r20,,r20,,r20,,,,r20,,,,,,r20,r20,r20,,r20,,,r20,,,,r20,,,,,,,
84,,,r22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,r9,,,,,,,,s20,s28,,,,s26,,,,,,,s25,s19,,,,s18,r9,,,,s30,,s29,,r9
86,,,s103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,s42,,,,,s44,,s45,s46,,,,,,,s41,,s43,,,,,,,,,,
88,,,,,,,,s42,,,,,s44,,s45,s46,,,,,,,s41,,s43,,,,,,,,,,
89,,,,,,,s57,,,,s60,,,,,,s56,s59,s61,,s53,,,s54,,,,s58,,,,,,,
90,,,,,,,s57,,,,s60,,,,,,s56,s59,s61,,s53,,,s54,,,,s58,,,,,,,
91,,,,,,,s57,,,,s60,,,,,,s56,s59,s61,,s53,,,s54,,,,s58,,,,,,,
92,r9,,,,,,,,s20,s28,,,,s26,,,,,,,s25,s19,,,,s18,r9,,,,s30,,s29,,r9
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s30,,s29,,
94,,,r3,r3,,,,,,,,,,,,,,,,,s4,,,,,,,,,,,,,,
95,,,r3,r3,,,,,,,,,,,,,,,,,s4,,,,,,,,,,,,,,
96,,,,,,,s57,,,,s60,,,,,,s56,s59,s61,,s53,,,s54,,,,s58,,,,,,,
